,songtext
Elton John,"I can hound you if I need to
Sip your brandy from a crystal shoe
In the corner, in the corner
While the others climb reaching dizzy heights
The world's in front of me in black and white
I'm on the bottom line, I'm on the bottom line

I'd have a cardiac if I had such luck, ooo
Lucky losers, lucky losers landing on skid row
Landing on skid row
While the Diamond Jims
And the Kings road pimps
Breath heavy in their brand new clothes
I'm on the bottom line, I'm on the bottom line

And I gotta get a meal ticket
To survive you need a meal ticket
To stay alive you need a meal ticket
Feel no pain, no pain
No regret, no regret
When the line's been signed
You're someone else
Do yourself a favor, the meal ticket does the rest

Shake a hand if you have to
Trust in us and we will love you anyway, anyway
Don't leave us stranded in the jungle
With fifty percent that's hard to handle
Ain't that so, ain't that so

And I gotta get a meal ticket
To survive you need a meal ticket
To stay alive you need a meal ticket
Feel no pain, no pain
No regret, no regret
When the line's been signed
You're someone else
Do yourself a favor, the meal ticket does the rest

Meal ticket

Gotta get a meal ticket
And I gotta get a meal ticket
To survive you need a meal ticket
To stay alive you need a meal ticket
Feel no pain, no pain
No regret, no regret
When the line's been signed
You're someone else
Do yourself a favor, the meal ticket does the rest

Meal ticket
Meal ticket
Meal ticket
Meal ticket
Meal ticket"
Elton John,"Sitting here on Christmas Eve with a brandy in my hand
Oh I've had a few too many and it's getting hard to stand
I keep hearing noises from my fireplace
I must be going crazy or the brandy's won the race

And I keep hearing ho ho ho, guess who's here
Your fat and jolly friend draws near
Ho ho ho, surprise, surprise
The bearded weirdy's just arrived

Ho ho ho, guess who's here
Your fat and jolly friend draws near
Ho ho ho, surprise surprise
The bearded wierdy's just arrived

On my roof there's snorting sounds, and bells inside my head
My vision's blurred with color, and all he sees is red
There's a pair of large sized wellies coming down my flue
And the smell of burning rubber, oh is filling up the room"
Elton John,"Oh, the joke was never hard to tell
Threw my spare change in the wishing well
The dream alone is always in your hands
If that don't fill the boy and build the man
A heart has many secrets, so I'm told
Through the years, a theory can grow cold
I'm up to be the king, it's gotten clear
The voice inside my head is the one I hear

Singing, I'm gonna love me again
Check in on my very best friend
Find the wind to fill my sails
Rise above the broken rails
Unbound by any ties that break or bend
I'm free, and don't you know?
No clown to claim he used to know me then
I'm free, and don't you know?
And oh-oh-oh, I'm gonna love me again

The golden age was somehow bittersweet
But now the past lies sleepin' in the deep
The peaceful days that followed hollow nights
A kiss or touch could feel like Kryptonite
Praise the Saints that hung up on my wall
For trust is left in lovers after all
A whispered word emergin' from a tale
My wake-up call to claim the cursed spell

Well, I'm gonna love me again (love me again)
Check in on my very best friend
Find the wind to fill my sails
Rise above the broken rails
Unbound by any ties that break or bend
I'm free, and don't you know?
No clown to claim he used to know me then
I'm free, and don't you know?
And oh-oh-oh, I'm gonna love me again

Sing, I'm gonna love me again
Check in on my very best friend
Find the wind to fill my sails
Rise above the broken rails
Unbound by any ties that break or bend
I'm free, and don't you know?
No clown to claim he used to know me then
I'm free, don't you know?
And oh-oh-oh, oh-oh-oh
Oh-oh-oh, I'm gonna love me again

I'm gonna love me again
I'm gonna love me again"
Elton John,"Oh it's great to see our homeland
Breathe the Iberian atmosphere
Just because we are Hispanic
Doesn't mean we're oceanic
Quite frankly we've had water up to here

We've made waves to last a lifetime
We've been saturated, almost drowned
We are Spanish, not Caribbean
We are human, not amphibian
We'll seek our fortunes on Spain's solid ground

There's no future in the new world
Only fools believe the tales
Of the gold of El Dorado
Only suckers set their sails
We have seen the way the tide is turning
Cortez is a charlatan
We are on the ball, discerning
We're anti-diluvian
Two very fine examples of
Sixteenth century man
Two very modern samples of
Sixteenth, sixteenth century man

There are women who are lining
Every avenue in every port
Now at last we'll get to grips with
The things they never equip ships with
We have sailed into our last resort

There's no gold mine in the new world
It's a trick to get recruits
On the boat to El Dorado
We're returning to our roots
We're going back to land locked ladies
Cortez never letz them board
All in all the point we've made is
We don't want to go abroad
Two very fine examples of
Sixteenth century man
Two terra firma samples of
Sixteenth, sixteenth century man

Two very fine examples of
Two terra firma samples of
Sixteenth century man"
Elton John,"Hold up, y'all
Hold up
Not yet
Hold up

Now
Go 'head
Go 'head

Like that
Yeah
Mm

That's cool

Ooh

Bring it in
I heard that; come on, and play that back
I'm really feeling that; come on, smash track
It's just the regular two-man show

I heard that; come on, and play that back
I'm really feeling that; come on, smash track
It's just the regular two-man show

Doesn't it sound good to ya, don't you agree?
Doesn't it sound good to ya, don't you agree?

Come on, break it down
What
Huh
Oh

I heard that; come on, and play that back
I'm really feeling that; come on, smash track
It's just the regular two-man show

I heard that; come on, and play that back
I'm really feeling that; come on, smash track
It's just the regular two-man show

Oh

Doesn't it sound good to ya, don't you agree?
Doesn't it sound good to ya, don't you agree?

Listen to me right here

I like that
Gimmie, gimmie that
Come on

Take it to the high level
Go a lil' higher then that
Higher
Switch it up
I like that
I like that

Kill 'em

I like that
Grab yo' lady and hug her tight
Uh huh, uh huh

Shock value"
Elton John," I know everything changes
Yeah, it's strange how time marches on
Maybe there'll be some time in the future
Oh, tell me I'm not wrong

Oh, if I could stop time
It would be a frozen moment just around Christmas
When all of mankind reveals its truest potential
And there is sympathy for the suffering
Yes, there is sympathy for those who are suffering

And the world embraces peace and love and mercy
Instead of power and fear
And as sure as I'm standing here
I swear it really does appear that a change comes over us
Yes, some kind of change comes over us

And it's glimpsed for one shining moment
And this change feels like a change that's real
But then it passes along with the season
And then we just go back to the way we were
Yes, we just go back to the way we were

Say it isn't so
Tell me I'm not just a dreamer
I'm talking with a friend and he knows how it ends
He says it's easier, that's just the way we are
That's human nature and that's just the way we are
Oh, say it isn't so!
"
Elton John,"I can hear your heart
Pounding in my ear
Now I feel the sound
And the time is near
I feel the taste
Of all the things you do
Now the time has come
I know you're a dream come true

You make me so complete
With the things you do
And the music's sweet
You make me feel brand new
I hear the sound
Songs start coming through
Somehow I know
That you're a dream come true

It takes my breath
When it sounds that way
Seems like you
Chase the clouds away
And I feel so good
Each and every day
And life is good
Each and every way

Now I feel the beat
Of the dancing drums
And now I know we're
Gonna have some fun
Now the time stands still
And the blues are through
And now I know
What I'm gonna do
Now I feel the beat
Of the dancing drums
And now I know we're
Gonna have some fun
Now the time stands still
And all the blues are through
Now I know
What I'm gonna do

It takes my breath
When it sounds that way
Seems like you
Chase the clouds away
And I feel so good
Each and every way
And life is good
Each and every day"
Elton John,"Don't shy away from coming in
Closer still my darling friend
Don't slip, don't trip on life
I bear the moon
Inside your eyes
Don't be afraid of all my years
What you see or what you hear
It's all yours and yours and yours alone
Yours for the taking, so take it home

Oh it's a good heart
To be a part of
Just a soulful woman tend to love
The kind of love you never knew
Oh it's a good heart from me to you

Oh sure it's cracked a time or two
But him and me, we pulled on through
I've seen 'em come, I've seen 'em go
Some went through fast
Some went real slow
So take a chance, and take your time
Reading my face between the lines
I love real good, and I love you
My heart and me
That's what we do

Oh it's a good heart
To be a part of
Just a soulful women tend to love
The kind of love you never knew
Oh it's a good heart from me to you

Oh it's a good heart
To be a part of
Just a soulful woman tend to love
The kind of love you never knew
Oh it's a good heart from me to you

The kind of love you never knew
Oh it's a good heart, from me to you
Oh it's a good heart, from me to you"
Elton John,"It's so strange he doesn't show me more affection than he needs
Almost formal, too respectful, never takes romantic leads
There are times when I imagine I'm not always on his mind
He's not thinking what I'm thinking, always half a beat behind
Always half a beat behind

I'm in every kind of trouble, can't you tell, just look at me
Half ecstatic, half dejected, all in all I'm all at sea
Easy turns I thought I wanted, fill me now with chilling dread
You can never know the chaos, of a life turned on it's head
Of a life turned on it's head

Take a little time to panic, shake off your complacent state
I know all I ever wished to, of a life destroyed by fate
It's so strange you never notice anything but where you are
Step outside your gleaming prison, or is that a step too far
Or is that a step too far

"
Elton John,"Lily pulled a horseshoe from a pile of junk
Said I'm gonna keep this good luck piece
Of iron inside my truck
The boy just whispered OK
And grabbed his old black dog
As we piled on in and cut out through
That late November fog

Dull as a plowshare rusting in the yard
Old Cotton grinned and waved goodbye
While the auctioneers all played cards
On every other Sunday
I'd walk down to Moe's and back
Eat a t-bone steak, watch a picture show,
For a dollar and a half

Come on little sister get up offa my knee
Gonna settle down someday
In a town called Jubilee
Come on brother Jake
Break on out and a break free
Gonna set things right and set up a house
In a town called Jubilee

That fog came out of nowhere
Short of what I can tell
Hand to hand we passed that bucket
Up and down from the well
Gone to California
Used to be what folks would say
Down around these parts if it was me
I'd have hoped that west bound stage

Come on little sister get up offa my knee
Gonna settle down someday
In a town called Jubilee
Come on brother Jake
Break on out and a break free
Gonna set things right and set up a house
In a town called Jubilee

One less hallelujah
A little less sympathy
Lily and Jake, the old black dog
A pinewood box, a rocking horse
All gone to Jubilee

Come on little sister get up offa my knee
Gonna settle down someday
In a town called Jubilee
Come on brother Jake
Break on out and a break free
Gonna set things right and set up a house
In a town called Jubilee"
Elton John,"Where have you been are you still on my side
Is that love or regret that I see in your eyes
How many years have we played out this game
Every time we come close the answer's always the same

I guess some souls get restless under the skin
There's a shortage by half of marrying men
You know that I love you but I love to be free
So tell me what do you want, yeah from a gypsy like me

I need a ring on my finger, champagne on ice
One man to show me the best part of life
Is that what you want
Yeah, that's what I need

A home and a family makes sense for us
A solid foundation built out of trust
Do you think you can find that with someone like me
Two arms to hold you, one place to be
Are just some of the things that a woman needs

I've been shortchanged and cheated so many times
But you're all that I've wanted For all of my life
I've searched for the reasons, known how I've felt
But what can I give you when I can't trust myself"
Elton John,"I don't know why
I just know I do
I just can't explain
In this language that I use
Something leaves me speechless
Each time that you approach
Each time you glide right through me
As if I was a ghost

If I only could tell you
If you only would listen
I've got a line or two to use on you
I've got a romance we could christen

And there's a word in Spanish I don't understand
But I heard it in a film one time spoken by the leading man
He said it with devotion, he sounded so sincere
And the words he spoke in Spanish brought the female lead to tears
A word in Spanish, a word in Spanish

If you can't comprehend
Read it in my eyes
If you don't understand it's love
In a thin disguise
And what it takes to move you
Each time that you resist
Is more than just a pretty face
To prove that I exist

When manners make no difference
And my gifts all lay undone
I trade my accent in on chance
And fall back on a foreign tongue"
Elton John,"Abide with me, fast forth the eventide
The darkness deepens, Lord abide with me
When other helpers fail and comforts flee
Help of the helpless, O abide with me

I fear no foe, with Thee at hand to bless
Ills have no weight and tears no bitterness
Where is death's sting, where, grave, that victory
I triumph still if Thou abide with me

Hold Thou thy cross before my closen eyes
Shine throught the gloom and point me to the skies
Heaven's morning breaks, and earth's vain shadows flee
In life, in death, O Lord abide with me
In life, in death, O Lord abide with me"
Elton John,"This ain't no battle honey, this ain't no fight
How come you take it so hard when I stay out all night
If I take a drink, is that against the law
And if I have a good time, do you call that an act of war

Well you better believe it boy, this house is your home
I didn't build it up for you to live here on my own
And if you think it's easy to forget about me
You'd better think twice, you'd better believe it's an act of war

We're living on the front line you and me
Fighting on this battleground of misery
Oh go ahead bring on your artillery
And we'll make this an act of war
Give it all you've got `cause I'm all dug in
Keep the punches coming I can take them on the chin
Winner takes all, let the best man win
And we call it an act of war

Well I'm a man of convenience I work a long hard day
After twelve long hours ain't I got the right to play
If living together is getting in the way
Then I call that an act of war

Well if that's your game then honey two can play
I'm going on the town tonight and have some fun my way
Ain't no way baby this girl's gonna stay
I call it, I call it an act of war

And it looks like time ain't been on our side
If we could turn the clock back
We might survive this act of war"
Elton John,"So I sing you to sleep
After the lovin'
With a song I just wrote yesterday
And I hope you can hear
What the words and the music have to say.

It's so hard to explain
Everything that I'm feelin'
Face to face I just seem to go dry.
But I love you so much
That the sound of your voice can get me high.

Thanks for takin' me
On a one way trip to the sun.
And thanks for turnin' me
Into someone.

So I sing you to sleep
After the lovin'
I brush back the hair from your eyes.
And the love on your face
Is so real that it makes me want to cry.

And I know that my song
Isn't sayin' anything new.
Oh, but after the lovin'
I'm still in love with you.

So I sing you to sleep
After the lovin'
I brush back the hair from your eyes.
And the love on your face
Is so real that it makes me want to cry.

And I know that my song
Isn't sayin' anything new.
Oh, but after the lovin'
I'm still in love with you.

Yes, after the lovin'
I'm still in love with you.

Hmmm, after the lovin'
I'm still in love with you."
Elton John,"Ain't nothing like the real thing, baby
Ain't nothing like the real thing
Ain't nothing like the real thing, baby
Ain't nothing like the real thing

I got your picture hangin' on the wall
But it can't see or come to me when I call your name
I realize it's just a picture inside a frame

I read your letters when you're not near me
But they don't move me, and they don't groove me
Like when I hear your sweet voice whispering in my ear
I play the game, a fantasy
I pretend I'm not in reality
I need the shelter of your arms to comfort me

I got some memories to look back on
And though they help me when you're gone
I'm well aware nothin' can take the place of you being there
No other sound is quite the same as your name
No touch can do half as much to make me feel better
So let's get together

Ain't nothing like the real thing, baby
Ain't nothing like the real thing
Ain't nothing like the real thing, baby
Ain't nothing like the real thing"
Elton John,"The sister of sunlight
Comes to my lonely life
Bearing the crosses I hung
I hung on my lonely wife
And the anchor told me
If I prayed by the river
That the sweet sound of water
Would always go with her

All across the havens to the waterfall
They told me I would meet her there
Inside those icy walls
But how on earth in this universe
Can they forgive me of my pains
For all across the havens
I must stumble locked in chains

Then the mother of mercy
Showed me her stable
And told me you would be safe
Safe in her cradle
And the waterfall opened
And the water withdrew
Leaving me standing
On a road leading through"
Elton John,"All quiet on the Western Front, nobody saw
A youth asleep in the foreign soil, planted by the war
Feel the pulse of human blood pouring forth
See the stems of Europe bend under force

All quiet
All quiet
All quiet on the Western Front

So tired of this garden's grief, nobody cares
Old kin kiss the small white cross, their only souvenir
See the Prussian offense fly, weren't we grand
To place the feel of cold sharp steel in their hands

It's gone all quiet on the Western Front, male angels sigh
Ghosts float in a flooded trench as Germany dies
Fever reaps the flowers of France, fair-haired boys
String the harps to Victory's voice, joyous noise"
Elton John,"Breaking down
Never seems to be that hard
Falling short
Is always in the cards
I'm on the road
Sun rising at my back
Lost it all
Somewhere between the cracks

I always hoped that I'd do better
That I'd come out on top for once
We all get what we're delivered
Then there are the lucky ones

And I've got all that I'm allowed
It'll do for me I'm thankful now
The walls get higher every day
The barriers get in the way
But I see hope in every cloud
And I'm thankful; thankful 
I'm thankful; so thankful; I'm thankful 
I've got all that I'm allowed

Leaving town
Gets to feel just like a job
My desire
Never winds up on top
I can't say now
I didn't want the moon
It's out of reach
Somewhere beyond this room

I always hoped that I'd do better
That I'd come out on top for once
We all get what we're delivered
Then there are the lucky ones

And I've got all that I'm allowed
It'll do for me I'm thankful now
The walls get higher every day
The barriers get in the way
But I see hope in every cloud
And I'm thankful; thankful 
I'm thankful; so thankful; I'm thankful 
I've got all that I'm allowed

I've always tried to make things clear
Then I watched as progress stalled
I only hope I'm standing here
When Heaven finally comes to call

And I've got all that I'm allowed
It'll do for me I'm thankful now
The walls get higher every day
The barriers get in the way
But I see hope in every cloud
And I'm thankful; thankful 
I'm thankful; so thankful; I'm thankful 
I've got all that I'm allowed

Thankful; I'm thankful;
So thankful; I'm thankful 
I've got all that I'm allowed

All that I'm allowed

I'm thankful
And I've got all that I'm allowed
So thankful
And I've got all that I'm allowed"
Elton John,"Breaking down never seems to be that hard
Falling short is always in the cards
I'm on the road sun rising at my back
Lost it all somewhere between the cracks

I always hoped that I'd do better
That I'd come out on top for once
We all get what we deliver
Then there are the lucky ones

And I've got all that I'm allowed
It'll do for me I'm thankful now
We're walking higher everyday
The barriers get in the way but I see hope in every cloud
And I'm thankful, I'm thankful
I'm thankful, so thankful
I'm thankful
I've got all that I'm allowed

Leaving town gets to feel just like a job
My desire never winds up on top
I can say now I didn't want the moon
Its out of reach somewhere beyond this room

I always hoped that I'd do better
That I'd come out on top for once
We all get what we deliver
Then there are the lucky ones

And I've got all that I'm allowed
It'll do for me I'm thankful now
We're walking higher everyday
The barriers get in the way but I see hope in every cloud
And I'm thankful, thankful
I'm thankful, so thankful
I'm thankful
I've got all that I'm allowed

I've always tried to make things clear
Then I watched as progress stalled
I only hope I'm standing here when Heaven finally comes to call

And I've got all that I'm allowed
It'll do for me I'm thankful now
We're walking higher everyday
The barriers get in the way but I see hope in every cloud
And I'm thankful, thankful
I'm thankful, so thankful
I'm thankful
I've got all that I'm allowed

Thankful, I'm thankful
So thankful
Thankful
I've got all that I'm allowed

All that I'm allowed

I'm thankful
And I've got all that I'm allowed
So thankful
And I've got all that I'm allowed"
